w	r
XmlToBase64	encode
callback	callback
check	checkxml
crlibreall	FE
crlibreall	NC
crlibreall	ND
crlibreall	gen_xml_nc
ejemplo	hola
ejemplo	un_usuario
fileUploader	subir_certif
fileUploader	subir_xml
fileUploader	test
geoloc	geoloc_create_tables
geoloc	geoloc_get_by_ip
geoloc	geoloc_load_blocks
geoloc	geoloc_load_locations
makeJson	makeJson
makeQR	makeQR
sendMail	sendmail
signXML	signFE
version	version
wirez	conversations_get_details
wirez	messages_get_in_conversation
wirez	messages_get_recent
wirez	messages_send
